token,n
ivishak,2
jakobshavn,2
jpl,2
kane,2
kap,2
kharp,2
khomus,2
kilohertz,2
klondike,2
kn,2
kongressvatnet,2
konkovaya,2
kotzebue,2
krill,2
krp13,2
kuropatochya,2
kurupa,2
kwok,2
l129,2
l280,2
l520,2
l56,2
labeling,2
lamination,2
landcover,2
larix,2
laser,2
layers,2
legacy,2
levels,2
limitation,2
limnology,2
lines,2
linkages,2
linnédalen,2
lipids,2
livelihoods,2
logging,2
logs,2
longitudinal,2
longwave,2
longwavedown,2
longwavenet,2
longwaveup,2
m1_1a,2
m6b,2
macrofauna,2
macrofossils,2
maidment,2
manta,2
manual,2
margins,2
marsh,2
maslanik,2
mast,2
master,2
mauze,2
mccarty,2
mcmanus,2
mediated,2
melsing,2
membranes,2
methyl,2
mg,2
microbes,2
micromet,2
micrometers,2
microorganisms,2
middle,2
mineralization,2
mining,2
mixing,2
modèle,2
molecular,2
monitor,2
morphological,2
mosaics,2
movies,2
mps,2
msmts,2
mz,2
names,2
nansen,2
nauk,2
nenana,2
neodymium,2
neogloboquadrina,2
newly,2
ngrip,2
nic_weekly_1980_07_15_tot.v0,2
nic_weekly_1999_12_27_fst.v0,2
nitrite,2
nitrous,2
nm,2
nmr,2
nonlinearities,2
noy,2
nsidc,2
nutrition,2
observer,2
oksrukuyik,2
operations,2
orthorectified,2
oxidant,2
oxides,2
oxygen:argon,2
pachyderma,2
pahs,2
paleoceanography,2
paleoenvironment,2
pamir,2
par,2
para,2
partners,2
paulson,2
pelagic,2
perch,2
pfas,2
phase,2
photolysis,2
photophysiological,2
physiological,2
physiology,2
pictures,2
ping,2
platforms,2
plutonium,2
pmel,2
polarstern,2
policy,2
pollutants,2
polychlorinated,2
polythermal,2
pom,2
pomeroy,2
pools,2
pops,2
populations,2
positioning,2
precision,2
predator,2
predictions,2
privatization,2
probes,2
product,2
prototype,2
provisional,2
publications,2
quantum,2
r12,2
r13,2
r15,2
r18,2
r24,2
r31,2
r37,2
racine,2
radioactive,2
radionuclide,2
rasters,2
rayleigh,2
rcp,2
red,2
redox,2
reductions,2
reference,2
regeneration,2
relations,2
relationship,2
removal,2
resampling,2
resilience,2
resolving,2
resonance,2
respired,2
retrieval,2
rgps,2
riparian,2
rocks,2
rogue,2
roles,2
roms,2
rosette,2
rowe,2
rrna,2
rui,2
s3,2
saline,2
sampled,2
sapflow,2
saqardleq,2
saskatchewan,2
saturated,2
scales,2
scarfs,2
se,2
seals,2
seasonally,2
secondary,2
security,2
sedimentological,2
sentinel,2
services,2
shapefiles,2
shorebird,2
shortwavedown,2
shortwavenet,2
shortwaveup,2
sighting,2
sightings,2
silt,2
simpson,2
simulation,2
single,2
sinking,2
sliding,2
slp,2
snowmelt,2
societies,2
soft,2
solute,2
southwestern,2
spectrometers,2
spectrometry,2
spp,2
stability,2
stage,2
stake,2
stand,2
star,2
statistical,2
stats,2
stomatal,2
strain,2
stratospheric,2
structured,2
student,2
subfossil,2
subice,2
suna,2
surfaces,2
surge,2
survival,2
sustainability,2
sweden,2
swift,2
swl11,2
tagged,2
taxonomy,2
tdn,2
tdr,2
televiewer,2
territory,2
text,2
thawing,2
tiller,2
tilt,2
top,2
topographically,2
totland,2
tovs,2
towns,2
tracks,2
transformations,2
transient,2
traps,2
trec,2
triple,2
trophic,2
true,2
tuktoyaktuk,2
twelve,2
typical,2
u1,2
u12,2
u2,2
u32,2
u9,2
uav,2
uggianaqtuq,2
ultraviolet,2
umiat,2
unattended,2
undergraduate,2
undergraduates,2
understand,2
undisturbed,2
unit,2
unprecedented,2
updated,2
upward,2
urals,2
urengoy,2
utc,2
utilization,2
v1,2
varve,2
varved,2
verification,2
version,2
viruses,2
visualization,2
vital,2
volcanic,2
wais,2
warmth,2
webs,2
weir,2
wetting,2
winch,2
wolf,2
world,2
worldview,2
xuelong,2
yakutsk,2
yenisei,2
yield,2
zev,2
_cbl,1
0.3,1
0.5km,1
"02,03",1
03995,1
03996,1
04715,1
04716,1
04994,1
04995,1
04apr09,1
04may12,1
0519840,1
05714,1
05715,1
05993,1
05994,1
05apr09,1
05gc,1
05may,1
05may07,1
06713,1
06714,1
06992,1
06993,1
07712,1
07713,1
07991,1
07992,1
08711,1
08712,1
08990,1
08991,1
0902130,1
09035336,1
0909354,1
0909362,1
09710,1
09711,1
09989,1
09990,1
"1,000",1
1.1,1
"10,900",1
1000,1
10000,1
1002,1
10709,1
10710,1
10988,1
10989,1
"11,200",1
11708,1
11709,1
11987,1
11988,1
11may07,1
120405,1
120406,1
1204220,1
120505,1
120506,1
120901_000000_au_bs02,1
120901_000000_au_bs03,1
121008_100000_au_bs02,1
121008_110000_au_bs02,1
121012_140000_au_bs03,1
121012_150000_au_bs03,1
121114_210000_au_bs02,1
121114_220000_au_bs02,1
121123_050000_au_bs03,1
121123_060000_au_bs03,1
121222_080000_au_bs02,1
121222_090000_au_bs02,1
1222,1
12707,1
12708,1
12986,1
12987,1
130101_000000_au_bs04,1
130103_200000_au_bs03,1
130103_210000_au_bs03,1
130128_190000_au_bs02,1
130128_200000_au_bs02,1
1302,1
130205_080000_au_bs04,1
130205_090000_au_bs04,1
130214_110000_au_bs03,1
130304,1
130305,1
130307_060000_au_bs02,1
130307_070000_au_bs02,1
130312_170000_au_bs04,1
130312_180000_au_bs04,1
130328_030000_au_bs03,1
130403,1
130404,1
130413_170000_au_bs02,1
130413_180000_au_bs02,1
130417_020000_au_bs04,1
130417_030000_au_bs04,1
130508_170000_au_bs03,1
130508_180000_au_bs03,1
130515_230000_au_bs02,1
130522_110000_au_bs04,1
130522_120000_au_bs04,1
130623_020000_au_bs04,1
130715_000000_au_bs02,1
130715_000000_au_bs04,1
130816_140000_au_bs03,1
130816_150000_au_bs03,1
130825_140000_au_bs02,1
130825_140000_au_bs04,1
130825_150000_au_bs02,1
130825_150000_au_bs04,1
130914,1
130915,1
130927_050000_au_bs03,1
130927_060000_au_bs03,1
131006_050000_au_bs02,1
131006_050000_au_bs04,1
131006_060000_au_bs02,1
131006_060000_au_bs04,1
131107_200000_au_bs03,1
131107_210000_au_bs03,1
131116_200000_au_bs02,1
131116_200000_au_bs04,1
131116_210000_au_bs02,1
131116_210000_au_bs04,1
131219_110000_au_bs03,1
131219_120000_au_bs03,1
131228_110000_au_bs02,1
131228_110000_au_bs04,1
131228_120000_au_bs02,1
131228_120000_au_bs04,1
137,1
13706,1
13707,1
13985,1
13986,1
140130_020000_au_bs03,1
140130_030000_au_bs03,1
140208_020000_au_bs02,1
140208_020000_au_bs04,1
140208_030000_au_bs02,1
140208_030000_au_bs04,1
140312_170000_au_bs03,1
140312_180000_au_bs03,1
140321_170000_au_bs02,1
140321_170000_au_bs04,1
140321_180000_au_bs02,1
140321_180000_au_bs04,1
140423_080000_au_bs03,1
140423_090000_au_bs03,1
140502_080000_au_bs04,1
140502_090000_au_bs04,1
140502_120000_au_bs02,1
140502_130000_au_bs02,1
140603_230000_au_bs03,1
140604_000000_au_bs03,1
140612_230000_au_bs04,1
140613_000000_au_bs04,1
140613_030000_au_bs02,1
140613_040000_au_bs02,1
140702_030000_au_bs04,1
140801_200000_au_bs02,1
140801_210000_au_bs02,1
140815_230000_au_bs02,1
1446,1
14705,1
14706,1
14984,1
14985,1
14aug06,1
14co2,1
150113_180000_au_bs03,1
150113_190000_au_bs03,1
150224_090000_au_bs03,1
150224_100000_au_bs03,1
150228_230000_au_bs03,1
1523,1
15704,1
15705,1
15983,1
15984,1
16643,1
16661,1
1763,1
1767,1
1880s,1
1882,1
18km,1
18s,1
1904,1
1920,1
1938,1
1940s,1
1945,1
1949,1
1950s,1
1952,1
1953,1
1954,1
1957,1
1966,1
1971_grainger,1
1981jun,1
1983,1
1997mar,1
19aug09,1
1x5,1
"2,000",1
"20,000",1
200,1
2000a,1
2000b,1
2000s,1
2001a,1
2002a,1
2003a,1
2003b,1
2003c,1
2003d,1
2003e,1
2004a,1
2004b,1
2004c,1
2004d,1
2004e,1
2005a,1
2005b,1
2005c,1
2005d,1
2005e,1
2005f,1
2006b,1
2006c,1
2006d,1
2006e,1
2006f,1
200712_imnavait_field,1
2007b,1
2007c,1
2007d,1
2007e,1
2007f,1
2007g,1
2007h,1
2007i,1
2007j,1
2007k,1
200802_imnavait_field,1
200811_barrow_field_photos,1
2008a,1
2008b,1
2008c,1
2008d,1
2008e,1
2008f,1
200904_imnavait_field,1
2009a,1
2009d,1
2009e,1
2009f,1
2009g,1
2009s2,1
200mb,1
201004_imnavait_field,1
2010a,1
2010b,1
2010c,1
2010f,1
2010g,1
2010h,1
"2011,2013",1
201104_imnavait_field,1
2011a,1
2011b,1
2011c,1
2011d,1
2011e,1
2011f,1
2011g,1
2011i,1
2011j,1
2011k,1
2011l,1
2011m,1
201204_imnavait_field,1
2012a,1
2012b,1
2012c,1
2012d,1
2012e,1
2012f,1
2012g,1
2012h,1
2012i,1
2012j,1
2012l,1
2012m,1
2013a,1
2013b,1
2013c,1
2013d,1
2013e,1
2013f,1
2013g,1
2013h,1
2013i,1
2014b,1
2014c,1
2014d,1
2014e,1
2014f,1
2014g,1
2014i,1
2015a,1
2015b,1
2015c,1
2015d,1
2015e,1
2015f,1
2015g,1
2015h,1
2015i,1
2015j,1
2015k,1
2016a,1
2035,1
20d,1
20m,1
214,1
2144,1
222,1
226,1
22apr,1
235,1
23jul13,1
260,1
268,1
26al,1
274,1
28oct06,1
2d,1
"3,100",1
3.2,1
3.5,1
3.7micron,1
30.09648,1
30.27498,1
30.47067,1
30.6589,1
32,1
33,1
34,1
36,1
360,1
38,1
41,1
42,1
420,1
47,1
47x51,1
4k,1
4km,1
4th,1
50,1
50km,1
51,1
52,1
54,1
55,1
55m,1
570yr,1
580,1
60,1
65x65,1
66,1
6hw,1
70,1
7700,1
78,1
800,1
81.63165,1
81.72033,1
81.80053,1
81.88882,1
810,1
8jpc,1
8th,1
91,1
930,1
96,1
97,1
99,1
aairo,1
abiotic,1
abord,1
abrupt,1
absence,1
absorbed,1
abstract,1
abstracts,1
acadis,1
accelerated,1
acceleration,1
accessible,1
acetyl,1
acetylene,1
acex,1
act,1
act11,1
act11d,1
actinic,1
adademii,1
adapatation,1
addendum,1
additions,1
address,1
adina,1
adipose,1
adult,1
advance,1
advances,1
affect,1
aft,1
agent,1
ago,1
agr,1
akademii,1
akmap,1
alaksa,1
alazeya,1
alces,1
aleknagik,1
algorithm,1
alison,1
alkanes,1
allakaket,1
allan,1
alliance,1
alnus,1
alpina,1
alpine,1
alternative,1
alters,1
ambler,1
amount,1
amstislavski,1
amts,1
anadyr,1
analyze,1
analyzed,1
analyzer,1
ancestral,1
anchukaitis,1
anderson,1
andryushkino,1
angle,1
aniak,1
animation,1
antartica,1
antennas,1
aodtm5,1
aofb,1
aotim5,1
apparent,1
applications,1
approximately,1
aqua,1
aquifers,1
aray,1
arc,1
arc5km2018,1
arcticmix,1
arcticnet,1
arctostaphylos,1
ark,1
arrays,1
art,1
article,1
asian,1
aspen,1
assemblages,1
associations,1
atkasuk,1
atm,1
atom,1
atq,1
attainment,1
attenuation,1
aufeis,1
aug,1
authentication,1
autumn,1
auxiliary,1
availability_ion,1
avayalik,1
avoided,1
awuna,1
awuna2,1
axctds,1
axis,1
ayach,1
ayr,1
b1,1
b3,1
b54,1
b57,1
b59,1
b61,1
b63,1
b68,1
b71,1
b72,1
b73,1
b74,1
b75,1
bacterioplankton,1
balances,1
baltic,1
bar,1
barrow_field,1
barrow_field_200712,1
barrow_field_200803,1
barrow_field_200803_photos,1
barrow_field_200804,1
barrow_field_200805,1
barrow_field_200805_photos,1
barrow_field_200811,1
barrow_field_200812,1
barrow_field_200902,1
barrow_field_200903,1
barrow_field_200903_photos,1
barrow_field_200904,1
barrow_field_200905,1
barrow_field_200908,1
barrow_field_200908_photos_hiemstrabyhelicopter,1
barrow_field_200912,1
barrow_field_200912_photos,1
barrow_field_201004,1
barrow_field_201011,1
barrow_field_201101_snowdepthanddrift,1
barrow_field_201103_snowdepthanddrift,1
barrow_field_201104_prudhoebay,1
barrow_field_201112,1
barrow_field_201112_snowdepthanddrift,1
barrow_field_201203,1
barrow_field_201303,1
barrow_field_misc_metadata,1
barrow_field_photos_200804,1
barrow_timeseries,1
barrow_timeseries_eswe_sensor,1
barrow_timeseries_metstation,1
barrow_timeseries_photos,1
barrow_timeseries_photos_cakeeater_snowfence,1
barrow_timeseries_photos_eswesensor,1
barrow_timeseries_photos_tower,1
beardmore,1
beaurfort,1
bed,1
bedded,1
bedfast,1
beer,1
behaviour,1
belcher,1
belenky,1
beneath,1
beo,1
beretta,1
bergin,1
bering2011,1
bering2011_laser,1
bering2011_laser_flight1,1
bering2011_laser_flight2,1
bering2011_video,1
bering2011_video_flight1,1
bering2011_video_flight2,1
beringfall2012,1
beringfall2012_laser,1
beringfall2012_laser_beringflight,1
beringfall2012_video,1
beringfall2012_video_beringflight,1
beringfall2013,1
beringfall2013_laser,1
beringfall2013_laser_beringflight,1
beringfall2013_video,1
beringfall2013_video_beringflight,1
beringi,1
beringian,1
beringsummer2012,1
beringsummer2012_laser,1
beringsummer2012_laser_beringflight,1
beringsummer2012_video,1
beringsummer2012_video_beringflight,1
berlinor,1
berylium,1
bestmas,1
bgosd,1
bias,1
biases,1
biface,1
bifaces,1
billed,1
binary,1
bioarchaeology,1
bioavailability,1
biocultural,1
bioenergetics,1
biomas,1
biome4,1
biomes,1
bios,1
biotic,1
biphenyl,1
biphenyls,1
bison,1
bivalve,1
biweekly,1
blood,1
bloom,1
blubber,1
bogoslof,1
bolvansky,1
bonanza,1
boosted,1
borne,1
bosworth,1
bottlle,1
brackish,1
breakthrough,1
breath,1
brevig,1
bridge,1
bright,1
brine,1
british,1
bro,1
brown,1
btf,1
bubble,1
bugt,1
buoy1,1
buoy10,1
buoy11,1
buoy12,1
buoy13,1
buoy14,1
buoy15,1
buoy2,1
buoy3,1
buoy4,1
buoy5,1
buoy6,1
buoy7,1
buoy8,1
buoy9,1
butane,1
c4,1
cab,1
cabin,1
cal,1
calculations,1
calculus,1
calibrating,1
calvet,1
cameron,1
campaign,1
campaigns,1
canada_basin_zooplankton_2003_2006_rutzen_hopcroft,1
canadas,1
canister,1
canoe,1
capture,1
carbonaceous,1
carbonyl,1
casa,1
cassano,1
cassiope,1
catalog,1
catalyzing,1
catastrophes,1
categorization,1
cation,1
cats,1
caused,1
caves,1
ccsm4,1
cds,1
cell,1
cellular,1
cellulose,1
centimeter,1
ceon,1
cesm1.1,1
chain,1
chandalar,1
channels,1
characterize,1
chaun,1
chevak,1
chile,1
chinare,1
chinare10,1
chinare12,1
chinare2010,1
chironomid,1
chirp,1
chloride,1
chlorine,1
choices,1
chromophoric,1
chronologies,1
chronology,1
chronosequence,1
chronosequences,1
chrpt,1
chuchki,1
chugach,1
chukochi,1
chukochii,1
chukochya,1
churchill,1
chydorus,1
claffey,1
claims,1
clarence,1
cleaned,1
climate_driven,1
climates,1
climatologies,1
closeoff,1
closure,1
clox,1
cluster,1
cmdl,1
cmip5,1
cnp,1
coarse,1
coastlines,1
coasts,1
coefficient,1
collection,1
colonization,1
colville,1
combining,1
combo,1
communication,1
compact,1
compiled,1
components,1
compression,1
computing,1
conceptualizations,1
concordance,1
condition,1
conferences,1
configuration,1
confluent,1
confronting,1
connectivity,1
conservation,1
constrain,1
constraining,1
constraints,1
consumer,1
consuming,1
contents,1
continuation,1
continued,1
contrast,1
contributors,1
convair,1
convergent,1
converted,1
cooperative,1
coordinated,1
copepods,1
coping,1
corehole,1
correct,1
corrections,1
correlating,1
correlations,1
correlative,1
corticosteroid,1
couette,1
count,1
coverage,1
covering,1
create,1
creating,1
crevasse,1
crispa,1
crucial,1
crust,1
crustacean,1
cruz,1
cryobot,1
cryoconite,1
cu,1
curtain,1
curves,1
customized,1
cv,1
cyanobacteria,1
cyber,1
cz10_au_a03,1
cz10_au_b03,1
cz10_au_c02,1
cz11_au_a03,1
cz11_au_b03,1
cz11_au_c02,1
d18o,1
d1d2,1
d3,1
dachy,1
dai,1
damocles,1
dargaville,1
data_2011,1
databases,1
dataone,1
dbo1,1
dead,1
decay,1
deciphering,1
decision,1
deck,1
declassified,1
decoded,1
deeper,1
deepest,1
default,1
degrees,1
deltas,1
demonstrating,1
dempster,1
denitrification,1
densification,1
dental,1
dependency,1
deployments,1
deposits,1
derobertis,1
descendant,1
descriptions,1
designing,1
desirable,1
destination,1
detect,1
determination,1
determine,1
detrital,1
dgps,1
diets,1
differences,1
differential,1
digitization,1
dikes,1
diomede,1
dionisy,1
direct,1
directly,1
disaster,1
discontinuous,1
dispersal,1
dispersion,1
disregard,1
distal,1
distance,1
distant,1
disulfide,1
dive,1
divergent,1
divide,1
diving,1
documents,1
dorade,1
dos,1
dot,1
downcore,1
downwelling,1
draft,1
drainages,1
drifter,1
drifters,1
drifts,1
drill,1
drilled,1
drive,1
driving,1
drogued,1
dss,1
dtlbs,1
due,1
dune,1
dynamical,1
e2,1
e4,1
ea1,1
ea2,1
ea3,1
ea4,1
earnings,1
ebullition,1
echo,1
ecodynamic,1
ecodynamics,1
ecotone,1
ecotypes,1
eddies,1
educator,1
eide,1
eider,1
ek60,1
eklutna,1
ekman,1
electricity,1
electrochemistry,1
electronic,1
electronics,1
elements,1
eleventh,1
elicitation,1
elim,1
eloka,1
elongation,1
elson,1
elucidate,1
emerald,1
emergence,1
emerging,1
emission,1
eml,1
employment,1
engabreen,1
engage,1
engelskbukta,1
enhance,1
entering,1
environments,1
enzyme,1
eocene,1
epifauna,1
epoch,1
equatorial,1
equid,1
equitable,1
erethizon,1
erosional,1
ers,1
established,1
establishing,1
estimate,1
estimated,1
ethnoarchaeological,1
ethnography,1
etop05,1
eubosmina,1
eurasia,1
eurasion,1
europe,1
evapotranspiration,1
evergreens,1
evolutionary,1
evolving,1
examine,1
exercise,1
exopolymers,1
expand,1
expected,1
experiencing,1
expert,1
exploratory,1
explore,1
exploring,1
external,1
extinction,1
extracellular,1
extractive,1
extreme,1
ez,1
fabric,1
faceted,1
factor,1
failures,1
farmers,1
farmstead,1
fauna,1
feb,1
fecal,1
federal,1
feedback,1
fellowships,1
fertilized,1
fetch,1
fidelity,1
figures,1
file,1
filling,1
fingerprint,1
finland,1
firncover,1
fishing,1
fixation,1
flade,1
flagship,1
flaw,1
floating,1
floatplane,1
flood,1
floodplain,1
flora,1
flounder,1
flower,1
fluctuations,1
fluid,1
fluorescent,1
flywheel,1
focus,1
fog1,1
fog2,1
fog3,1
fog4,1
fog5,1
foliage,1
foods,1
footage,1
footprint,1
foraminifera,1
forces,1
foreign,1
formaldehyde,1
fort,1
forum,1
fox_field,1
fox_timeseries,1
fractionated,1
frequency,1
frobisher_bay_zooplankton_1967,1
fruit,1
functioning,1
fur,1
gage,1
galbraith,1
galena,1
game,1
gap,1
gasses,1
gathering,1
gauges,1
gcms,1
gcw,1
gender,1
generalized,1
genome,1
genotype,1
genus,1
geochronological,1
geodetic,1
geomicrobiology,1
geomorphic,1
geophysics,1
george,1
georgia,1
geosciences,1
geotraces,1
ghz,1
gigahertz,1
girth,1
gisp,1
glacier's,1
glaciochemical,1
glaciochemistry,1
glaciofluvial,1
glass,1
glenn_creek_timeseries_eswe_sensor,1
glisn,1
glossary,1
glukhoe,1
gnss,1
goering,1
golden,1
goldstream,1
golovin,1
gould,1
gp15,1
gp5,1
gp8,1
gradients,1
grains,1
granger,1
grasshopper,1
gravimeter,1
gravity,1
grazed,1
green,1
green's,1
greenland's,1
greenlandic,1
grioos,1
gro,1
gross,1
groundfish,1
groundhog,1
groundwater,1
growth_2011,1
gth101,1
gth110,1
gth153,1
gth155,1
gth156,1
gth157,1
gth158,1
gth39,1
gth58,1
gth59,1
gth60,1
gth61,1
gth62,1
gth85,1
gth86,1
gth88,1
gth90,1
gth91,1
gth98,1
gts,1
guide,1
gulf,1
gur,1
gut,1
gydan,1
h2so4,1
ha,1
habitability,1
hadley,1
half,1
halogens,1
halomethane,1
hand,1
hannay,1
hans,1
hansbreen,1
happenings,1
haps,1
hardness,1
harp,1
harvested,1
haulout,1
hazards,1
heading,1
health,1
hedge,1
hegranesþing,1
held,1
helhein,1
herder,1
herding,1
herring,1
hess,1
hf,1
hillslope,1
hillslopes,1
hillslopes2,1
historiography,1
hly0201,1
hly0203,1
hly03,1
hly0402,1
hly0403,1
hly0503,1
hly0701,1
hly0702,1
hly1801,1
ho2,1
hopcroft,1
hope,1
horizon,1
horizons,1
horizontal,1
horn,1
horst,1
hotrax,1
hotspot,1
household,1
hpc,1
humboldt,1
humic,1
hunting,1
huslia,1
hx235,1
hx250,1
hx260,1
hx274,1
hx290,1
hydro,1
hydrocarbon,1
hydrochemical,1
hydroclimate,1
hydrogeochemistry,1
hydrometeorological,1
hyperspectral,1
hypotheses,1
i1,1
i2,1
i3,1
i8in,1
iasoa,1
icebridge,1
icecaps,1
icecore,1
icehouse,1
icelandic,1
icesat,1
icetrendr,1
ich,1
ichi,1
ichthyoplankton,1
ics,1
ict,1
icy,1
idealized,1
identifying,1
ifsar,1
igbp,1
iispacs,1
ik,1
ikpikpuk,1
iliamna,1
imager,1
imagers,1
immersive,1
imnavait_field,1
imnavait_timeseries,1
imnavait_timeseries_eswe_sensor,1
imnavait_timeseries_metstation,1
imnavait_timeseries_photos,1
improving,1
impurity,1
imuruk,1
include,1
includes,1
income,1
incorporation,1
incubated,1
incubations,1
indiana,1
indicating,1
induced,1
induction,1
inductively,1
industrializing,1
inertial,1
infauna,1
infaunal,1
inferred,1
inherent,1
inigok,1
initial,1
innovation,1
innovative,1
inputs,1
insects,1
instability,1
institutional,1
instrumentation,1
integration,1
intensity,1
inter,1
interactive,1
interannualvariability_barrow_nearshore,1
intercept,1
interchange,1
interferometric,1
interglacial,1
internships,1
interpolar,1
interpolation,1
interpreting,1
intersection,1
intersections,1
intra,1
inughuit,1
iñupiaq,1
iñupiat,1
inuvik_field,1
inuvik_timeseries,1
invasive,1
inventories,1
invertebrate,1
investigations,1
iodine,1
ionospheric,1
ions,1
ir,1
irga,1
irminger,1
isac,1
isachsen,1
isblink,1
isbrae,1
isbræ,1
isfjord,1
islandica,1
isobath,1
isoflux,1
itelmen,1
itkilik,1
iv,1
ivo,1
jack,1
jakutskoe,1
jay,1
jgofs,1
jgr,1
jjord,1
jois,1
jones,1
journals,1
jul13,1
junction,1
juneau,1
jurassic,1
kam12_b2_c10,1
kangerdlugssuaq,1
kangerlussauq,1
kangiata,1
kangiqtugaapik,1
kara,1
kargoplgyno,1
kashin,1
kasitsna,1
kawerak's,1
keche,1
keflavík,1
kelp,1
key,1
keys,1
kittiwakes,1
kluane,1
knorr,1
kola,1
koluktak,1
kongress,1
konsvegen,1
kotlik,1
koyuk,1
kruglaya,1
kugururok,1
kujalleq,1
l80,1
lab,1
labaz,1
labeled,1
lability,1
lac,1
ladcp,1
lafayette,1
lagoons,1
laicpms,1
laminaria,1
landforms,1
landmass,1
lane,1
langjokull,1
languages,1
latewood,1
lavrentia,1
lavrentiya,1
leach,1
leachate,1
leader,1
leaders,1
leading,1
learning,1
leaves,1
legged,1
les,1
lessing,1
levinson,1
levis,1
lights,1
limits,1
linda's,1
lindsay,1
linkage,1
links,1
linne,1
linnebreen,1
linnedalen,1
linnéelva,1
literature,1
lithic,1
lived,1
llc,1
llinas,1
lobes,1
localized,1
located,1
loci,1
logbooks,1
logistics,1
lomas,1
lomonosov,1
lomonosovfonna,1
lookup,1
loop,1
lorino,1
lovenbreen,1
lowered,1
lowland,1
lsl2002,1
lst,1
luminous,1
luna,1
lupine,1
m5c,1
ma,1
magnitudes,1
maier,1
maintenance,1
malchilovskaya,1
malina,1
mammuthus,1
manokotak,1
mantle,1
mapped,1
mappings,1
marre,1
marshall,1
marshallae,1
marshalle,1
maru,1
mask,1
massachusetts,1
matanuska,1
matching,1
mater,1
materials,1
mathis,1
matted,1
maxdoas,1
mc,1
mcd43a3,1
mclane,1
meade,1
meadow,1
measure,1
measurments,1
media,1
medical,1
meeting,1
meetings,1
megafauna,1
melnikov,1
membrane,1
mendenhall,1
mentasta,1
mesic,1
meso,1
mesocosms,1
mesosphere,1
mesospheric,1
metagenome,1
metagenomes,1
metals,1
metazoan,1
methanesulfonate,1
methanogen,1
methodological,1
metrics,1
mgd77,1
michael,1
michigan,1
microarray,1
microarthropods,1
microbiological,1
microbiota,1
microblades,1
microcats,1
microcomputed,1
microflagellates,1
micrographs,1
micrometorological,1
microplankton,1
microsatellite,1
microtopography,1
midtre,1
mif,1
mild,1
millenium,1
miller,1
million,1
mineralogical,1
miniflux,1
minipiezo,1
mismatch,1
mission,1
mist,1
mitochondrial,1
mitogenome,1
mixedwood,1
mixotrophy,1
mocness,1
mod10a1,1
mode,1
moderately,1
modular,1
module,1
moraine,1
morphometrics,1
mosaic,1
mould,1
movement,1
movements,1
moving,1
mrb13_01,1
mrb13_02,1
mrb13_03,1
mrb13_04,1
mrb13_05,1
mrb13_06,1
mrb13_07,1
mrb13_08,1
msa,1
mscl,1
mss,1
mtcoi,1
multidecadal,1
multidisciplinary,1
multiscale,1
mummified,1
murres,1
muscle,1
muskeg,1
mystery,1
n1,1
n3,1
nadym,1
nanvarpak,1
narl,1
narwhal,1
naturalized,1
nceas,1
ne,1
ne12,1
ne14,1
neem_2011_s1,1
nejanilini,1
neleger,1
niagara,1
nic_weekly_1977_07_12_tot.v0,1
nic_weekly_1981_03_24_tot.v0,1
nic_weekly_1995_04_11_fst.v0,1
nic_weekly_1996_06_18_fst.v0,1
nic_weekly_1998_03_09_myr.v0,1
nic_weekly_1998_08_17_myr.v0,1
nic_weekly_1999_01_11_tot.v0,1
nic_weekly_1999_03_01_thn.v0,1
nic_weekly_1999_12_27_myr.v0,1
nic_weekly_2000_09_25_thn.v0,1
nic_weekly_2002_04_29_tot.v0,1
nic_weekly_2002_09_30_tot.v0,1
niguanak,1
nila,1
nitric,1
nmc,1
noa,1
nolan,1
nonacidic,1
nondestructive,1
nongis,1
nonglacial,1
nordenskioldland,1
norilsk,1
norms,1
norseman2,1
northernmost,1
northwind,1
nos,1
nox,1
npz,1
nsa,1
nunaata,1
nvivo,1
nwr,1
nws,1
nyalesund,1
o18,1
oas,1
obs,1
observe,1
obtained,1
ocps,1
octopetala,1
odp,1
oilfield,1
ojp,1
okkonen,1
olgoonik,1
omolon,1
onset,1
ontario,1
operation,1
oral,1
organization,1
organochlorine,1
oriented,1
originating,1
ornithurine,1
orr,1
oscillations,1
oshoro,1
osmium,1
osmoprotection,1
outburst,1
outcomes,1
outputs,1
ovalifolia,1
overland,1
overview,1
owen,1
oxidizing,1
pack,1
package,1
pad,1
page,1
pah,1
pakitsoq,1
pâkitsoq,1
paleoclimatic,1
paleoclimatology,1
paleodiet,1
paleoecology,1
paleoenvironmental,1
paleohydrology,1
paleoindian,1
paleomagnetic,1
paleosols,1
paleotemperature,1
paleotsunami,1
paleoviral,1
pals,1
panarctic,1
panel,1
panteleikha,1
parallel,1
parameterization,1
parameters_dominant,1
parisento,1
parmos,1
partition,1
pass,1
pathway,1
patterns,1
paytan,1
pb,1
pc,1
pcb,1
pcbs,1
pdf,1
pearl,1
peatlands,1
pedicel,1
people,1
perceptions,1
perched,1
perchlorate,1
percolation,1
perennial,1
periodical,1
peroxy,1
peroxynitrite,1
persistence,1
persistent,1
perspective,1
perspectives,1
perturbation,1
perturbations,1
peru,1
pesticides,1
peterson,1
petroleum,1
pfass,1
phases,1
phasmavirus,1
phc,1
phenylglucosazone,1
phospholipid,1
phosphorus,1
photographic,1
photometry,1
photosynthetic,1
photosynthetically,1
photosystem,1
pi,1
picoplankton,1
pigments,1
piksiksak,1
pilots,1
pilz,1
pine,1
pinkel,1
pinto,1
piomas,1
pis,1
pits,1
pittsburgh,1
plan,1
planning,1
